번호,날짜,관찰한 사실,관련 역량
4,6.2,"물의 전기 분해 실험에서 두 전극의 기체를 확인하는 방법을 계획해 수행하고, 부피비를 기록해 결합의 전기적 성질과 연결지어 발표함",실험수행·의사소통
4,6.12,"CH4·NH3·H2O를 전자점식으로 그리고 전자쌍 반발을 근거로 결합각 차이를 설명함",모형화
4,6.16,"물 분자의 굽은 구조로 극성을 판단하고 용해성 차이를 예측해 모둠에 설명함",데이터해석·의사소통
8,6.2,"전기 분해 실험을 수행해 생성 기체를 확인했으나 결과를 결합의 전기적 성질과 연결하는 설명은 교사 질문을 받은 뒤 보완함",실험수행·자기점검
8,6.12,"전자점식은 대체로 정확했으나 CO2 구조 추론에서 전자쌍 반발을 부분적으로만 적용함",모형화
8,6.16,"구조와 극성을 연결했으나 성질을 예측하는 근거가 일부 부족함",자료해석
11,6.10,"6차시 형성평가에서 NH3·CO2의 전자점식과 구조를 추론해 나타냄",모형화
11,6.12,"여러 분자를 전자점식으로 표현하고 전자쌍 반발로 구조를 추론해 모형으로 나타냄",모형화
11,6.16,"극성 판단은 했으나 구조와 물질의 성질을 연관짓는 설명이 단편적임",자료해석
17,6.2,"전기 분해 실험 조에서 기체 확인 절차를 수행하고 관찰 결과를 기록함",실험수행
17,6.12,"전자점식 표현에 일부 오류가 있어 짝의 도움을 받아 수정하고 구조 추론은 예제를 따라 진행함",모형화
22,6.2,"전기 분해 실험에서 모둠 기록지 정리를 맡아 참여함",협업
22,6.10,"6차시 형성평가에서 원자가 전자 수는 썼으나 전자점식의 공유 전자쌍 위치를 두 차례 질문함",모형화
