번호,날짜,관찰한 사실,관련 역량
2,6.10,"탄소 포집 기술 사례 2가지를 원리와 함께 발표하고, 상용화 현황을 묻는 질문에 조사 자료를 근거로 답함",자료조사·의사소통
2,6.17,"질량·입자 수·기체 부피를 몰로 환산하는 6문항을 모두 해결하고 풀이 과정을 칠판에 써서 설명함",양적사고·의사소통
2,6.24,"프로페인 연소 반응식을 세우고 계수비를 근거로 산소 소모량을 계산해 모둠 질문에 답함",모형화·데이터해석
5,6.10,합성 섬유 개발 사례를 발표했으나 사례 간 공통 원리를 묻는 질문에 답하지 못함,자료조사
5,6.17,"질량→몰 환산은 정확했으나 입자 수 환산에서 아보가드로수 적용을 누락함, 예제를 다시 보고 수정함",양적사고·자기점검
5,6.24,반응식 계수는 맞췄으나 생성물 질량 계산에서 몰질량을 혼동해 짝의 확인을 받음,모형화
9,6.10,"의약품 합성 사례를 신약 개발 과정과 연결해 발표하고 출처 목록을 발표 자료에 첨부함",자료조사·의사소통
9,6.17,기체 부피 환산의 온도·압력 조건을 교사에게 두 차례 질문한 뒤 나머지 문항을 스스로 해결함,양적사고
9,6.24,"연소 실험 데이터로 반응 전후 질량비를 계산하고 계수비와 비교해 모둠에 설명함",데이터해석·의사소통
14,6.17,몰 환산 6문항 중 3문항을 해결했고 나머지는 짝의 풀이를 따라 적음,양적사고
17,6.17,"몰 환산 6문항 중 5문항을 해결하고, 틀린 1문항의 단위 실수를 스스로 찾아 고침",양적사고·자기점검
17,6.24,반응식 작성을 완료했으나 양적 관계 설명은 교사의 단계별 질문에 따라 진행함,모형화
